name,uidzz,Brand,Family,Model,shape,Diameter,ShankDiameter,CuttingEdgeHeight,LengthTotal,LengthType,Flutes,FluteShape,TipShape,material,Cuts Material,Notes,Order#,Date,Order-Line#,Desc,,Qty,Cost/ea,,,qty on hand,LOCATION,stk_note
 PCB drill 0.3-1.2F,,HuHao,,,pcbdrill,0.3,,10,38,x`,,,,,,,122,,216,,,1 ea,,HuHao 1st order,,,,
 PCB drill 2.1-3.0F,,HuHao,,,pcbdrill,2.1,,10,38,,,,,,,,122,,217,,,1 ea,,HuHao 1st order,,,,
 PCB corn cutters 2F,,HuHao,,,pcbcorncutters,2,,10,38,,,,,,,,122,,221,,,4,,HuHao 1st order,,,,
 PCB corn cutters 3F,,HuHao,,,pcbcorncutters,3,,10,38,,,,,,,,122,,222,,,4,,HuHao 1st order,,,,
 PCB drill 2.05F,,HuHao,,,pcbdrill,2.05,,10,38,,,,,,,,122,,223,,,2,,HuHao 1st order,,,,
 PCB drill 2.15F,,HuHao,,,pcbdrill,2.15,,10,38,,,,,,,,122,,223,,,2,,HuHao 1st order,,,,
 PCB drill 2.25F,,HuHao,,,pcbdrill,2.25,,10,38,,,,,,,,122,,223,,,2,,HuHao 1st order,,,,
 PCB drill 2.85F,,HuHao,,,pcbdrill,2.85,,10,38,,,,,,,,122,,223,,,2,,HuHao 1st order,,,,
 PCB drill 2.95F,,HuHao,,,pcbdrill,2.95,,10,38,,,,,,,,122,,223,,,2,,HuHao 1st order,,,,
 PCB drill 0.3 to 1.2F,,HuHao,,,pcbdrill,0.3,,10,38,,,,,,,,165,,217,,,2,,HuHao 2nd,,,,
 endmill 6-6stubby4F,,SWC,,,endmill,6,6,13,57,stubby,4,spiral,,HSS,,,216,,13,,,4,1.45,,2pcs/Lot End Mill HSS 6mm 4 Flutes End Mill Metal Cuttting v-bit Milling Machine Bit CNC Tool,4,3-2,
 endmill 1.5-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,1.5,6,6,51,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14, ,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,1,3-1,
 endmill 2-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,2,6,6,51,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,0,BROKEN,BROKEN
 endmill 2.5-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,2.5,6,6,52,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,0,BROKEN,BROKEN
 endmill 3-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,3,6,8,52,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,0,BROKEN,BROKEN
 endmill 3.5-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,3.5,6,11,54,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,1,3-1,
 endmill 4-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,4,6,11,55,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,2,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,2,3-1,
 endmill 5-64FAcrylic_ Al_ Steel,,SWC,,,endmill,5,6,13,57,,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,1,3-1,
 endmill 5.5-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,5.5,6,13,57,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,MEASURED 5.5,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,1,3-1,
 endmill 6-6stubby4FAcrylic_ Al_ Steel,,SWC,,,endmill,6,6,20,65,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,2,1.52,HSS marking,Wholesale 10pcs/Lot Tungsten Carbide Spiral End Mills CNC Router Bits 4mm Shank Single Flute Milling Cutter,2,3-1,
 endmill 1-3.1751FAcrylic,,HuHao,,,endmill,1,3.175,6,38,,1,spiral,fishtail,,Acrylic,,226,,8,1x3_ 3.175mm shaft Acrylic cutter,,5,,,,5,4-1,
 endmill 2-3.1751FAcrylic,,HuHao,,,endmill,2,3.175,12,40,,1,spiral,fishtail,,Acrylic,,226,,9,2x12_ 3.175mm shaft Acrylic cutter,,5,,,,4,4-1,1x broken
 v-bit F,,HuHao,,,v-bit,,,,,,,v-bit,,,,,,,,,,,,,,,,
 endmill 3-44FSteel HRC55,,DrillPro – N Pluss,,,endmill,3,4,8,50,,4,Spiral 55 degree,,CBD,Steel HRC55,Tungsten HRC55 AlTiN Coating ,228,,4,Drillpro 5pcs 3mm 4 Flutes Tungsten Carbide End Mill Cutter HRC55 AlTiN Coating End Mill Cutter,,5,,,,5,1-1,
 endmill 5-52FSteel HRC55,,DrillPro – N Pluss,,,endmill,5,5,13,50,,2,Spiral 55 degree,,CBD,Steel HRC55,Tungsten HRC55 AlTiN Coating ,228,,4,Drillpro 5pcs 3mm 4 Flutes Tungsten Carbide End Mill Cutter HRC55 AlTiN Coating End Mill Cutter,,5,,,,5,1-2,
 endmill 1.54FAl (&steel?),,Bangood,,,endmill,1.5,,6,51,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,bangood,,,,
 endmill 24FAl (&steel?),,Bangood,,,endmill,2,,6,51,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,bangood,,,,
