Brand,Family,Model,shape,ShankDiameter,CuttingEdgeHeight,LengthTotal,LengthType,Flutes,FluteShape,TipShape,material,Cuts Material,Notes,Order#,Date,Order-Line#,Desc,,Qty,Cost/ea,,qty on hand,LOCATION,stk_note
brand1,,,Pcb drill,,10,38,x`,2,,,,,,122,,216,,,1 ea,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,122,,217,,,1 ea,,brand1 1st order,,,
brand1,,,pcb corncutters,,10,38,,4,,,,,,122,,221,,,4,,brand1 1st order,,,
brand1,,,pcb corncutters,,10,38,,4,,,,,,122,,222,,,4,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,,,,,,,122,,223,,,2,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,122,,223,,,2,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,122,,223,,,2,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,122,,223,,,2,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,122,,223,,,2,,brand1 1st order,,,
brand1,,,Pcb drill,,10,38,,2,,,,,,165,,217,,,2,,brand1 2nd,,,
br2,,,endmill,6,13,57,stubby,4,spiral,,HSS,,,216,,13,,,4,1.45,,4,3-2,
br2,,,endmill,6,6,51,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14, ,,1,1.52,HSS marking,1,3-1,
br2,,,endmill,6,6,51,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,0,BROKEN,BROKEN
br2,,,endmill,6,6,52,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,0,BROKEN,BROKEN
br2,,,endmill,6,8,52,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,0,BROKEN,BROKEN
br2,,,endmill,6,11,54,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,1,3-1,
br2,,,endmill,6,11,55,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,2,1.52,HSS marking,2,3-1,
br2,,,endmill,6,13,57,,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,HSS marking,1,3-1,
br2,,,endmill,6,13,57,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,1,1.52,MEASURED 5.5,1,3-1,
br2,,,endmill,6,20,65,stubby,4,spiral,,HSS,Acrylic_ Al_ Steel,,216,,14,,,2,1.52,HSS marking,2,3-1,
brand1,,,endmill,3.175,6,38,,1,spiral,fishtail,,Acrylic,,226,,8,1x3_ 3.175mm shaft Acrylic cutter,,5,,,5,4-1,
brand1,,,endmill,3.175,12,40,,1,spiral,fishtail,,Acrylic,,226,,9,2x12_ 3.175mm shaft Acrylic cutter,,5,,,4,4-1,1x broken
brand1,,,v-bit,,,,,2,v-bit,,,,,,,,,,,,,,,
brand3,,,endmill,4,8,50,,4,Spiral 55 degree,,CBD,Steel HRC55,Tungsten HRC55 AlTiN Coating ,228,,4,Drillpro 5pcs 3mm 4 Flutes Tungsten Carbide End Mill Cutter HRC55 AlTiN Coating End Mill Cutter,,5,,,5,1-1,
brand3,,,endmill,5,13,50,,2,Spiral 55 degree,,CBD,Steel HRC55,Tungsten HRC55 AlTiN Coating ,228,,4,Drillpro 5pcs 3mm 4 Flutes Tungsten Carbide End Mill Cutter HRC55 AlTiN Coating End Mill Cutter,,5,,,5,1-2,
generic1,,,endmill,,6,51,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,51,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,52,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,52,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,55,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,55,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,55,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,57,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,Bangood,,endmill,,6,57,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
generic1,,,endmill,,6,57,,4,spiral,,HSS,Al (&steel?),,228,,5,10pcs 1.5mm to 6mm HSS 4 Flute End Mill Cutter 6mm Shank Milling Cutter Set,,1 ea,$1.03 ea,generic1,,,
Q.CH,,,endmill,4,3,50,stubby,2,spiral,fishtail,CBD,HRC60,,262,,1,Stubby/Deep grove end mills 0.9mm 4mm shank 4L??,,5,4,,5,4-2,
5WX,,,T slot,6,0.3,50,,4,T slot 0.3,,CBD,,WF25 Tungsten,255,,1,6x0.3 T slot cutter,,,,,1,4-3,
5WX,,,T slot,6,1,50,,4,T slot 1.0,,CBD,,WF25 Tungsten,255,,2,6x1.0 T slot cutter,,,,,2,4-3,
b4,,,dovetail,,,50,,4,60 degree dovetail,,,,**see SMD slot design files,256,,2,60 degree dovetail 6mm shank,,,,,2,4-3?????,<<<<<<<<<????
brand1,,,endmill,,17,38.25,,1,spiral,spiral,CBD,Al (&steel?),,309,,1,3.175x17 single flute brand1 3A single-blade milling cutter cutting alloy aluminum tungsten steel cnc CNC computer v-bit machine tool spiral cutter head Large chip removal High quality tungsten steel Applicable aluminum No burr Finish,,5,2.46,,1,3-3,
brand1,,,endmill,,16,38.6,,2,spiral,fishtail,CBD,Al (&steel?),,309,,2,3.175x10 2 flute Shanghai Hao extended 3.175 double-edged milling cutter alloy aluminum tungsten steel CNC computer v-bit machine cutter head Applicable acrylic aluminum substrate speed_ high precision_ high efficiency_ low noise,,3,3.66,,3,3-3,
brand1,,,endmill,,17,38.8,,2,spiral,fishtail,CBD,Al (&steel?),,309,,3,3.175x17 2 flute Shanghai Hao extended 3.175 double-edged milling cutter alloy aluminum tungsten steel CNC computer v-bit machine cutter head Applicable acrylic aluminum substrate speed_ high precision_ high efficiency_ low noise,,3,3.66,,2,3-3,
EXE,,,endmill,4,3,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,4,4,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,3,8,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,4,10,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,5,13,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,6,15,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,1,1-3,
EXE,,,endmill,5,13,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,2,5pcs/set 2F 3F 2 Flutes Tungsten Carbide End Mill Diameter HRC55 5mm Router Bit 4 Blade Tungsten Steel Milling Cutter 45 HRC C,,5,4.36,,5,1-4,
Jeray,,,endmill,6,15,50,,4,spiral,fishtail,CBD,Al (&steel?) HRC55,,313,,1,6mm D6*15*D6*50 4 Flutes HRC55 Tungsten Square End Mills Spiral Bits Carbide CNC Flat Endmill Router Bits ,,4,4.645,,4,1-6,
b6,,,chamfer,6,,50,,4,straight,90,CBD,Al (&steel?),,313,,2,chamfering,,1,7.96,,1,1-6,
b6,,,chamfer,4,,50,,4,straight,90,CBD,Al (&steel?),,313,,3,chamfering,,1,6.03,,1,1-6,
b6,,,roughing,6,15,50,,3,spiral,,CBD,Al (&steel?) HRC 60,,313,,4,ROUGHING,,2,8.38,,2,1-5,
b6,,,roughing,4,11,50,,3,spiral,,CBD,Al (&steel?) HRC 60,,313,,5,ROUGHING,,4,3.975,,3,1-5,1x broken
Black Bird,,,endmill,6,8,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,1,2 Flutes-HSS Cutting Edge Diameter:  6mm-68L,,3,4.87,,3,3-6,
bb7,,,endmill,6,11,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,2,2 Flutes-HSS Cutting Edge Diameter: 5mm-68L,,3,4.87,,3,3-6,
bb7,,,endmill,6,11,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,3,2 Flutes-HSS Cutting Edge Diameter: 4mm-65L,,3,4.87,,2,3-5,1X BROKEN
bb7,,,endmill,6,20,65,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,4,2 Flutes-HSS Cutting Edge Diameter: 3mm-65L,,3,4.87,,3,3-5,
bb7,,,endmill,6,20,65,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,5,2 Flutes-HSS Cutting Edge Diameter: 3mm,,3,3.39,,3,3-5,
bb7,,,endmill,6,24,68,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,6,2 Flutes-HSS Cutting Edge Diameter: 2.5mm,,3,3.39,,3,3-5,
bb7,,,endmill,6,24,68,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,7,2 Flutes-HSS Cutting Edge Diameter: 2mm,,3,3.39,,3,3-5,
br8,E444,,endmill,,11,54,Short,1,spiral,fishtail,CBD,Al,Carbide VHM,378,,1,4x6x11 1F,,1,29.071,A0009596 br8 E4440400 4mm x 6mm 1 Flute Endmill - Carbide VHM Ultra - Short,1,2-2,
